provincia,DIA,SEMANA,vendedor,gestor_servicio,Cod Empresa,RazonSocial,Latitud,Longitud
DISTRITO NACIONAL,LUNES,1,EDUARD CEBALLOS,RYAN,distribuidora1834,WIDRO IMPORT,"18,47277","-69,88572"
DISTRITO NACIONAL,MARTES,2,EDUARD CEBALLOS,DIOGENES,karaka1211,TIENDAS MERENGUE,"18,48276","-69,89125"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,RYAN,karaka984,TIENDA ARGELIS,"18,49905","-69,92547"
DISTRITO NACIONAL,MARTES,1,EDUARD CEBALLOS,MANUEL,karaka35,TEJON & CIA,"18,48292","-69,89158"
SANTO DOMINGO,LUNES,1,EDUARD CEBALLOS,EVELYN,karaka585,SUPERMERCADO CUMBRE,"18,51612","-69,84503"
DISTRITO NACIONAL,LUNES,1,EDUARD CEBALLOS,RYAN,karaka507,SUPERMERCADO CARIBE S.R.L.,"18,4475","-69,93544"
DISTRITO NACIONAL,LUNES,1,EDUARD CEBALLOS,JOSE,distribuidora1866,SUPERMERCADO CARIBE,"18,4475","-69,93544"
SANTO DOMINGO,MARTES,1,EDUARD CEBALLOS,EVELYN,distribuidora2929,SUPERMERCADO ASIA,"18,49485","-69,86393"
SANTO DOMINGO,JUEVES,3,EDUARD CEBALLOS,MANUEL,karaka1040,SMARKET SRL,"18,52192","-70,00336"
DISTRITO NACIONAL,JUEVES,3,EDUARD CEBALLOS,MANUEL,distribuidora2282,SMARKET (S/M LA BENDICION),"18,52192","-70,00336"
ESPAILLAT,,,EDUARD CEBALLOS,MANUEL,distribuidora589,SERKASA,"19,3953","-70,53078"
ESPAILLAT,,,EDUARD CEBALLOS,MANUEL,karaka1249,SERKASA,"19,3953","-70,53078"
DISTRITO NACIONAL,,,EDUARD CEBALLOS,RYAN,karaka839,"SAVIO DISTRIBUCIONES, SRL","18,46978","-69,93742"
DUARTE,,,EDUARD CEBALLOS,RYAN,karaka852,"ROSARIO ESPAILLAT, SRL (SFM)","19,29686","-70,25583"
LA VEGA,,,EDUARD CEBALLOS,RYAN,karaka850,"ROSARIO ESPAILLAT, SRL (LA VEGA)","19,21846","-70,5311"
LA VEGA,,,EDUARD CEBALLOS,RYAN,karaka851,"ROSARIO ESPAILLAT, SRL (LA VEGA 2)","19,22506","-70,52133"
